label,text
general pathological conditions,"Radiotherapy alone versus combined chemotherapy and radiotherapy in nonresectable non-small-cell lung cancer: first analysis of a randomized trial in 353 patients. We report the results observed in a large, randomized study that compared the effects of radiotherapy alone (the standard therapy) with those of a combination of radiotherapy and chemotherapy in nonresectable squamous cell and large-cell lung carcinoma. The radiation dose was 65 Gy in each group, and chemotherapy included vindesine, cyclophosphamide, cisplatin, and lomustine. In this study, 177 patients received radiotherapy alone (group A), and 176 patients received the combined treatment (group B). The 2-year survival rate was 14% in group A and 21% in group B (P = .08). The distant metastasis rate was significantly lower in group B (P less than .001). Local control was poor in both groups (17% and 15%, respectively) and remained the major problem. "
general pathological conditions,"The effect of alcohol in isolated blunt splenic trauma. The effect of alcohol on trauma patients is controversial, with numerous authors citing no difference in mortality in acutely intoxicated patients. The purpose of our study was to retrospectively investigate the effect of alcohol in adult patients with isolated blunt splenic injury. From 1980 through 1989, 47 adult patients with splenic trauma as the only major injury were admitted to the Trauma Service. There were 37 males and ten females with a mean age of 29 years (range, 15 to 61). Motor vehicle accidents were responsible for 44 (94%) of the injuries. Group 1 consisted of 24 patients with a mean blood alcohol level of 185 mg/dl (range, 15 to 380). In Group 2 there were 23 patients without detectable blood alcohol. There were no statistically significant differences between the two groups in age, Abbreviated Injury Severity Score, initial hematocrit, and grade of splenic injury. Hypotension was present in 13 patients (55%) in Group 1 versus six patients (26%) in Group 2 (p less than 0.05). Significant abnormalities in clotting studies were present on admission in six patients (25%) in the alcohol-detected group versus one in the other group (p less than 0.05). Blood transfusion requirements in the first 24 hours were significantly greater in Group 1 (mean, 3.9 units) versus Group 2 (mean, 0.5 units) (p less than 0.001). If alcohol was present, there was much less chance for splenic conservation, as 18 patients (75%) underwent splenectomy versus seven patients (30%) in the nonalcohol group (p less than 0.05). There was one death and this occurred in a patient acutely intoxicated who suffered a cerebral infarct. "
general pathological conditions,"Metaplastic change in mesenchymal stem cells induced by activated ras oncogene. 3T3 T murine mesenchymal stem cells have the potential to differentiate into a variety of different cell types even though they show a predilection to undergo adipocyte differentiation in vitro. The possibility that the activated c-Ha-ras (EJras) oncogene might influence the pathway of differentiation of these stem cells is investigated in the current study. Activated ras oncogene was transfected and stably expressed in 3T3 T cells; assays then were performed to determine its effect on differentiation. The results show that all EJras-transfected cell lines lose their ability to differentiate to adipocytes and instead differentiate into cells that express many characteristics of macrophages. Such cells contain numerous cytoplasmic granules, extensive nonspecific esterase activity, and anchorage-independent growth. The modulation of differentiation pathway from an adipocyte lineage to a macrophagelike cell lineage does not result from the transforming effect of EJras, because a nontransformed cell clone that expresses p21EJras protein also exhibits this modified differentiation pathway. These data suggest that the EJras oncogene specifically modulates the differentiation pathway of 3T3 T mesenchymal stem cells. This experimental system should therefore provide an excellent model to evaluate the mechanistic role of EJras in the process of metaplasia. "
general pathological conditions,"Touch and surgical division of the anterior quadrant of the spinal cord. An investigation was carried out to determine whether tactile sensibility was affected by anterolateral cordotomy. There were 65 patients who had cordotomies for painful forms of cancer. Thirty eight had necropsy examination with histological investigation of the spinal cord. No form of mechanoreception was removed in any of the 65 patients and in the majority no forms of tactile sensibility were altered by division of the pathways in the anterolateral and anterior columns. In no case was graphaesthesia affected. Knowledge of joint position and movement and awareness of vibration was normal in 62 of the 65 patients. But information carried by these anterolateral pathways does reach neural levels of consciousness, for with total lesions of the posterior columns, previously reported, touch and pressure are still felt. Itch was removed by division of the anterolateral pathways. Although the posterior columns are essential for discrimination in mechanoreception, discrimination may be disturbed by lesions of the anterolateral pathways, notably two-point discrimination. The evidence on the pathways essential for conveying impulses giving rise to tickle was inconclusive. "
general pathological conditions,"Alcohol-dependent unilateral vestibular impairment persisting after a closed head injury. A 20-year-old man suffered a closed head injury followed by symptoms of right-sided labyrinthine concussion with complete clinical recovery within 3 weeks. Episodic vertigo and ataxic gait occurred after the ingestion of small amounts of alcohol over the next 2 years. Electro-oculography revealed a right-sided peripheral type vestibular lesion, only after taking alcohol. This was interpreted as an alcohol-induced impairment of central compensation following an incomplete recovery from right-sided labyrinthine trauma. "
general pathological conditions,"Obstructive jaundice: use of expandable metal endoprosthesis for biliary drainage. Work in progress. Expandable metal endoprostheses were implanted transhepatically in 61 patients with obstructive jaundice. Fifty-three patients had malignant and eight had benign obstructions. Because of the small diameter of the compressed stent (7 F), primary implantation of the stent without a previous catheter drainage was preferred. Postprocedural complications occurred in three patients (5%) (biliary pleuritis, peritonitis, hepatic artery aneurysm). The 30-day mortality rate was 8.2%. Reocclusions were observed in six of the patients with malignant obstructions (11%) (observation period, 1-10 months; mean, 4.5 months) and in two of the patients with benign stenoses (25%) (observation period, 3-21 months; mean, 9 months). The higher reocclusion rate of benign obstructions must be interpreted with care because of the small number of patients. From their preliminary experience, the authors conclude that expandable metal endoprostheses offer patency rates equal to those of plastic stents. The implantation trauma is reduced due to the small 7-F introducing catheter system. "
neoplasms,"Nutritional approach to cancer prevention with emphasis on vitamins, antioxidants, and carotenoids. The main human cancers are associated with complex life-style related causative, enhancing, and inhibiting factors. Tobacco smoking or chewing exposes humans to genotoxic carcinogens and to promoting substances. Likewise, Western dietary traditions involve certain carcinogens and promoters, whereas Oriental traditions implicate other carcinogens and promoters. Importantly, in virtually all situations regular intake of fruits and vegetables appreciably lowers the risk of cancer. This paper reviews the causes of the main human cancers and analyzes the mechanisms of the protective effects of fruits and vegetables. Prevention of human cancer requires the definition of optimal levels of recommended daily allowances of micronutrients. "
neoplasms,Haemangiosarcoma of the maxillary antrum. Angiosarcomas are extremely rare in the head and neck and the histological diagnosis is often difficult. We present a case of a haemangiosarcoma of the maxillary antrum in a 33 year old male. The histological diagnosis and subsequent management are discussed. 
neoplasms,"Disposable attachments in cryosurgery: a useful adjunct in the treatment of HIV-associated neoplasms. During cryosurgery of different types of lesions in patients with human immunodeficiency virus infection, it is crucial that the possibility of secondary bacterial infection be reduced. The use of disposable attachments during cryosurgery can reduce this risk of transmission of infectious agents. These attachments are discussed. "
neoplasms,"Flow cytometric DNA content of adenoid cystic carcinoma of submandibular gland. Correlation of histologic features and prognosis. Flow cytometric analysis of nuclear DNA content was performed in 26 adenoid cystic carcinomas of the submandibular gland using archived, paraffin-embedded tissues. The DNA content was compared with multiple histologic parameters and clinical course. Ten carcinomas (38%) were aneuploid and 16 (62%) diploid. Aneuploid carcinomas demonstrated a higher frequency of solid cytoarchitecture, lymph node metastases, and advanced clinical stage, as compared with diploid carcinomas. Other histologic features predicting aggressive clinical behavior also correlated with abnormal DNA content and included invasion of nerves larger than 0.25 mm and intravascular extension. Our data suggest that DNA content analysis can be an effective objective parameter in the clinicopathologic assessment of adenoid cystic carcinoma. "
neoplasms,"Neoplastic changes in the stomach after gastrectomy. Partial gastric resection for benign ulcer disease has been associated with an increased incidence of mucosal dysplasia and invasive adenocarcinoma, particularly 15 to 20 years after resection. These remnant carcinomas are particularly virulent with little hope of resection or cure once symptoms occur. Using a planned protocol of routine endoscopic surveillance with biopsy, the goal was to identify early markers of neoplasia, that is, dysplasia, and a diagnosis of adenocarcinoma of the gastric remnant, while both resection and cure were possible. Between July 1980 and August 1988, yearly flexible gastroscopic examination and random biopsy have been performed on 163 patients at least ten years after gastrectomy for benign ulcer disease. All biopsy results were interpreted for findings of dysplasia and early gastric adenocarcinoma. Results of this ongoing screening program revealed dysplasia of the gastric remnant in nine patients with eventual findings of adenocarcinoma in four of this group. These patients underwent total gastrectomy with findings of limited disease. Five patients with mucosal dysplasia continue to be observed at six month intervals. Three additional gastric carcinomas were found on initial gastroscopic screening, while one patient had adenocarcinoma diagnosed during a third yearly gastroscopic examination. These eight asymptomatic patients with adenocarcinoma in the gastric remnant had a postgastrectomy interval which ranged from 15 to 29 years (mean of 26.5 years). The results of this study support the concept of neoplastic change in the gastric remnant as a function of time from initial gastric resection. Findings of dysplasia on random biopsy indicate a greater likelihood of development of carcinoma of the gastric remnant and identify a subset of patients requiring aggressive endoscopic surveillance. "
neoplasms,"Indium-labeled anti-colorectal carcinoma monoclonal antibody accumulation in non-tumored tissue in patients with colorectal carcinoma. Indium-111- (111In) labeled murine monoclonal antibodies ZCE 025 (against carcinoembryonic antigen) and CYT-103 MAb B72.3 (against tumor-associated glycoprotein - 72) have been used to image patients with colorectal cancers with encouraging results. The objectives of this study were to assess the frequency and causes of 111In MAb localization in tumor-free, benign tissues. Thus, scans of 75 patients who have undergone exploratory surgery following radioimmunoscintigraphy with 111In-ZCE 025 (n = 37) or 111In-CYT-103 (n = 38) were reviewed in conjunction with operative and histopathology reports. Localization in non-tumored tissues was seen in 10.8% and 13.1%, respectively, of patients receiving ZCE 025 and CYT-103. The most common sites involved were: degenerative joint disease, abdominal aneurysms, postoperative bowel adhesions, and local inflammatory changes secondary to surgery or external irradiation. Review of patients' medical history and results of concurrent diagnostic modalities is likely to lessen the false-positive rate of 111In-labeled MAb scan interpretation. "
neoplasms,"Interphase cytogenetics using biotin and digoxigenin labelled probes: III. Increased sensitivity and flexibility for detecting HPV in cervical biopsy specimens and cell lines. A monoclonal antibody to digoxin enabled sandwich techniques to be used for the detection of hybridised digoxigenin labelled probes in cultured cells and paraffin wax sections. This system has greater flexibility than alkaline phosphatase conjugated polyclonal antidigoxigenin antibody and permits the use of alternative detector enzymes, such as horseradish peroxidase and fluorescence labels. The APAAP detection system that does not require the use of biotin can also be used in situations where endogenous biotin is a problem. The low level of background staining combined with precise substrate deposition of the amplified peroxidase system gives higher sensitivity and resolution. This permits localisation of closely adjacent chromosomal loci in interphase nuclei. The most sensitive peroxidase based digoxigenin detection system visualises two and a half to 12 copies of human papillomavirus (HPV) per nucleus. This system is also suitable for the analysis of low copy number HPV infection of cervical tissues. "
neoplasms,"Expression of ABH blood group antigens, Ulex europaeus agglutinin I, and type IV collagen in the sinusoids of hepatocellular carcinoma. The expression of blood group antigens (A, B, H, Lewis(a) and Lewis(b)), Ulex europaeus agglutinin I (UEA-I), factor VIII-related antigen, and type IV collagen on the sinusoids was examined immunohistochemically in 15 cases of hepatocellular carcinomas (HCC), 11 cases of cirrhosis, 12 cases of chronic active hepatitis, and in a control sample of 16 normal livers. Sinusoidal endothelial cells of HCC characteristically showed a diffuse and strong immunoreactivity to ABH blood group antigens in the specimen with a comparable ABO blood group. The sinusoidal endothelial cells were also diffusely and strongly positive for UEA-I receptors. In contrast, in cirrhosis and chronic active hepatitis a few sinusoidal endothelial cells were positive for ABH blood group antigens and UEA-I receptors. In normal livers, only a few sinusoidal endothelial cells were positive for ABH blood group antigens and UEA-1 receptors. Tests for factor VIII-related antigen and Lewis blood group antigens were almost negative on sinusoidal endothelial cells. Although type IV collagen was distributed diffusely in the space of Disse in these four groups, its expression was strongest in HCC. Blood vessels of portal tracts and fibrous septa were positive for ABH blood group antigens, UEA-1 receptors, factor VIII-related antigen, and type IV collagen, but negative for Lewis blood group antigens. These findings suggest that some sinusoidal endothelial cells undergo ""capillarization"" in cirrhosis and chronic active hepatitis, and that the majority of sinusoidal endothelial cells of HCC have phenotypic characteristics of capillaries. "
neoplasms,"The axilla: not a no-go zone Many surgeons, particularly in the UK, give inadequate primary treatment to patients with operable breast cancer. For spurious reasons they regard axillary clearance as unnecessarily extensive surgery and rely instead upon total mastectomy or tumour excision and node sampling, with or without postoperative radiotherapy. But it is now clear that relapse-free and overall survival can be improved by appropriate adjuvant therapy. Thus inadequate exploration of the axilla is doubly unjustified. Not only is there the obvious risk of failure to remove nodes that contain metastases--so that some patients are deprived of cure by primary treatment--but the extent of tumour spread will be inadequately assessed in many more patients, with the risk that they may not receive appropriate adjuvant treatment. "
neoplasms,"Respiratory epithelium in a cystic choristoma of the limbus. A female newborn had a cystic, whitish gray mass at the inferotemporal limbus of the left eye. At age 3 weeks, the newborn underwent excision of the tumor, corneal patch grafting, and superior sector optical iridectomy. Histopathologic and electron microscopic examination of the excised tissue revealed a choristoma consisting of cysts lined with respiratory epithelium. To our knowledge, respiratory epithelium in a limbal choristoma has not been previously reported. "
nervous system diseases,"Anticardiolipin antibodies: a study of frequency in TIA and stroke. We undertook a prospective study of consecutive patients to determine the frequency of elevated IgG and IgM anticardiolipin antibodies in transient ischemic attack and ischemic stroke and found elevated IgG antibodies in 8.2% (9 of 110) and IgM in 9.1% (10 of 110), only the former being significantly greater than in a healthy control population. We suggest that anticardiolipin screening be concentrated on the young. "
nervous system diseases,"Long-term efficacy of primary laser trabeculoplasty. Sixty glaucomatous eyes of 60 patients treated with laser trabeculoplasty as primary therapy were reviewed retrospectively. There were 42 eyes with capsular glaucoma and 18 with simple glaucoma. The mean prelaser intraocular pressure (IOP) was 35.2 (SD = 6.5) mmHg. Success was defined as IOP less than or equal to 22 mmHg without medication. The probability of success was 0.73 at 1 year, 0.66 at 2 years, 0.57 at 3 years, and 0.50 at 4 years. Three eyes experienced progressive visual field loss or disc damage in spite of an intraocular pressure below 22 mmHg without medication. High prelaser pressure and the severity of the visual field defects were significant predictors of treatment failure. "
nervous system diseases,"Ischaemic brain lesions diagnosed at birth in preterm infants: clinical events and developmental outcome. In 232 newborn babies of less than 32 weeks' gestational age ultrasound brain scans were carried out shortly after birth, daily for the first week of life, and at least twice weekly thereafter. Periventricular echogenicity associated with or progressing to periventricular leukomalacia (ischaemic brain lesions) was present in nine babies within two hours of birth (early onset); 30 other babies subsequently developed similar lesions (late onset). Babies with early onset lesions were more likely to have a history of intrauterine growth retardation and to have recurrent apnoea in the first few hours after birth. By contrast, late onset lesions were associated with hyaline membrane disease. In later childhood four of six survivors with early onset periventricular leukomalacia, and seven of 14 survivors with late onset periventricular leukomalacia, had various disabilities including spastic diplegia, impaired vision, squints, sensorineural hearing loss, and developmental delay. In a third of the children with disabilities ischaemic brain lesions were noted within two hours of birth, raising the possibility that some of this damage had taken place before or during birth. "
nervous system diseases,"Transcranial Doppler ultrasonography: clinical applications in cerebrovascular disease. Transcranial Doppler ultrasonography was introduced in 1982 as a noninvasive procedure for assessment of the intracranial cerebral circulation. The lightweight and portable equipment used for transcranial Doppler examination facilitates its use in the bedside assessment of critically ill hospitalized patients and outpatients. Clinical applications include the diagnosis of vasospasm in patients with subarachnoid hemorrhage, assessment of intracranial collateral flow in patients with extracranial arterial occlusive disease, detection of intracranial arterial stenosis, identification of the feeding arteries of arteriovenous malformations and monitoring the hemodynamic effects of their treatment, confirmation of the clinical diagnosis of brain death, intensive-care unit monitoring of brain-injured patients, and intraoperative and postoperative monitoring of neurosurgical patients. Transcranial Doppler technology is also providing new insights into the pathophysiologic mechanisms of a variety of cerebrovascular conditions. Clinicians will find transcranial Doppler technology most helpful if they have a specific question about the status of the intracranial circulation. Further investigations may expand the clinical and research utility of this technology. "
nervous system diseases,"Plasticity of integrin expression by nerve-derived connective tissue cells. Human Schwann cells, perineurial cells, and fibroblasts express markedly different patterns of beta 1 integrins during nerve development, neoplasia, and in vitro. Strikingly selective expression patterns of beta 1, alpha 2, alpha 3, and alpha 5 integrin subunits were revealed in endoneurium, perineurium, and epineurium of fetal and adult human peripheral nerve by immunostaining with specific antibodies. The alpha 2 subunit was expressed only on Schwann cells both in fetal and adult nerve, whereas the alpha 3 epitopes were expressed exclusively in the adult tissue and were primarily present on perineurial cells. The alpha 5 epitopes were expressed only on the innermost cell layer of perineurium of fetal and adult nerve. The tumor cells within schwannomas and cutaneous neurofibromas expressed both alpha 2 and alpha 3 subunits, indicating that Schwann cells have the potential to express also the alpha 3 subunit in vivo. Cell cultures established from human fetal nerve and neurofibromas revealed expression of the alpha 2 and alpha 5 epitopes on Schwann cells, perineurial cells, and fibroblasts, whereas only Schwann cells contained the alpha 3 epitopes which were occasionally concentrated on the adjacent Schwann cells at cell-cell contacts. Our findings emphasize that nerve connective tissue cells change their profiles for expression of extracellular matrix receptors under conditions which have different regulatory control signals exerted by, for example, axons, humoral factors, or the extracellular matrix of the peripheral nerve. This plasticity may play an important role during nerve development and in neoplastic processes affecting the connective tissue compartments of peripheral nerve. "
nervous system diseases,"Seizures and other neurologic sequelae of bacterial meningitis in children. BACKGROUND. Although the mortality rate among children with bacterial meningitis has decreased dramatically in recent decades, some patients are left with neurologic sequelae. It has not been clearly established which features of the acute illness predict the chronic neurologic sequelae, including late seizures or epilepsy. METHODS. We followed 185 infants and children prospectively during and after acute bacterial meningitis. The mean duration of follow-up was 8.9 years (range, 0.1 to 15.5). During the first six years standard neurologic examinations were performed; telephone interviews were conducted thereafter. RESULTS. One month after meningitis, 69 children (37 percent) had neurologic abnormalities. Many of these signs resolved within a year, leaving only 26 children (14 percent) with persistent deficits: 18 (10 percent) had only sensorineural hearing loss, and 8 (4 percent) had multiple neurologic deficits. Thirteen children (7 percent) had one or more late seizures not associated with fever. The presence of persistent neurologic deficits indicative of cerebral injury was the only independent predictor of late afebrile seizures (P less than 0.001). CONCLUSIONS. After bacterial meningitis only children with permanent neurologic deficits are at high risk for epilepsy. Those with normal examinations after the acute illness have an excellent change of escaping serious neurologic sequelae, including epilepsy. "
nervous system diseases,"Autologous transplantation of adrenal medulla in Parkinson's disease. 18-month results. Eighteen of 19 patients who underwent autologous adrenal medullary transplantation to the right caudate nucleus have been followed up for 18 months. During the course of this study, a statistically significant improvement was noted in percent ""on"" time, percent ""on"" time without dyskinesia, activity of daily living (ADL) scores during the ""on"" stages, and ADL, motor, and Schwab-England scores during the ""off"" stages. Benefits tended to be maximal at 6 months and to gradually lessen thereafter, although statistically significant improvement in comparison with baseline was still present at 18 months for ADL, motor, and Hoehn-Yahr scores during the ""off"" stages. Almost all parameters had deteriorated by 18 months compared with 12 months, including those remaining significantly improved in comparison with baseline. These patterns were similar for each of the three participating centers. Complications were largely restricted to the perioperative period. "
nervous system diseases,"Immunophenotypic characteristics of cerebrospinal fluid cells in children with acute lymphoblastic leukemia at diagnosis. The presence of meningeal involvement in children with acute lymphoblastic leukemia (ALL) may have important prognostic and therapeutic implications. Conventional methods of diagnosing central nervous system (CNS) leukemia rely on the interpretation of cerebrospinal fluid (CSF) cell morphology, which may produce ambiguous results in the presence of minimal leukemic involvement. A methodology has been developed for immunophenotyping small numbers of CSF cells while preserving cell morphology. CSF samples from 33 children with CD10 (common ALL antigen [CALLA]) positive ALL were examined at initial presentation using both conventional morphology and this combined immunohistopathologic technique. Six (18%) of the samples contained lymphoblasts or cells considered morphologically suspicious for leukemic involvement. Nine additional samples (27% of the total) had normal CSF morphology, but contained increased numbers of CALLA positive cells. Twelve of the 33 samples were also examined for the simultaneous presence of nuclear terminal deoxynucleotidyl transferase (TdT) and demonstrated increased numbers of cells positive for both TdT and CD10. These data suggest that a large proportion of children with ALL may have abnormalities of CSF cells at initial diagnosis consistent with the presence of occult leukemic involvement. "
nervous system diseases,"Richner-Hanhart's syndrome. Electron microscopic study of the skin lesion. The plantar hyperkeratotic skin lesion in a case of Richner-Hanhart's syndrome was investigated using ultrastructural examination. Light microscopic examination showed remarkable hyperkeratosis and some aberrant keratinocytes with multiple nuclei. On ultrastructural examination, some abnormal structures were seen in the affected keratinocytes: aggregations of tonofilaments and intracytoplasmic inclusions. The inclusions were needle shaped and were considered to be ""crystal ghosts,"" presumably of tyrosine. The formation of tyrosine crystalline inclusions seems to be an important factor in the pathogenesis of the cutaneous lesions in Richner-Hanhart's syndrome. "
nervous system diseases,"Relationship between duration of spinal cord ischemia and postoperative neurologic deficits in animals. Twenty hogs were administered the following procedures before, during, and after overdistraction of the spinal column at T5-T6: somatosensory (SEP) and neurogenic-motor evoked potentials (NMEPs), hydrogen clearance procedures, Stagnara wake-up tests, and aortic-injection of silastic plastic. To ensure that overdistraction was possible, a nonosseous, circumferential osteotomy was made at T5-T6 and distraction applied in one-ratchet increments using Harrington instrumentation. Overdistraction was maintained for 3, 5, 6, 10, 15, 20, 25, or 30 minutes. Results indicated that the duration of overdistraction, as represented by lost NMEPs, was always correlated with the animal's clinical status on wake-up test. If overdistraction was maintained more than 6 minutes, 100% of the animals demonstrated positive wake-up results; if maintained between 5 and 6 minutes, 75% demonstrated positive wake-up results; and if maintained less than 5 minutes, only 25% demonstrated positive wake-up results. Time-to-loss of the NMEPs and SEPs, after onset of overdistraction, fell within two groups: slow and fast. In the slow group, it required slightly more than 20 minutes (mean = 20.6) for the potentials to be lost, while in the fast-loss group data were lost in slightly less than 4 minutes (mean = 3.6). Blood flow studies and inspection of the spinal cord revealed that the mechanism of action for the slow group appeared to be ischemia of the spinal cord that extended several centimeters above and below the site of maximum distraction. In the fast-loss group, it appeared that gross structural damage, with some very localized ischemia, were the mechanisms of actions influencing the integrity of the spinal cord. "
